soportes,soportes_%,audiencias,tarifas,indices_utilidad,inserciones,duplicacion
Marca,2.3179,965525.046356,269111.3883307092,0.5311806954058236,1,482568.6772718826
El Pais,1.9154,797863.0112559999,222096.0413707401,0.5985797728463009,1,337248.10702309763
El Mundo,1.9081,794822.184284,212525.2325418608,0.2674961492636735,1,450453.8187549186
As,1.0031,417842.950084,119916.65425462494,0.3901310073911125,1,125733.32521615595
La Voz de Galicia,1.0188,424382.810832,111415.87855334184,0.2957954908632904,1,232969.2528168345
La Vanguardia,1.3035,542975.0627400001,108323.00394991688,0.5293958495304923,1,289547.3047892332
ABC,0.7134,297167.939976,77431.89752773407,0.467522347788822,1,107092.91150173865
Mundo Deportivo,0.9064,377562.406496,75637.2392442606,0.5463385686999251,1,105944.83883293008
El Correo,0.62,258262.01679999998,67924.82426699226,0.4439089565097218,1,91361.6804896134
Sport,0.7028,292752.492592,81017.8499506874,0.2299383509999878,1,166582.13568815304
La Nueva EspaÃƒÂ±a,0.4079,169911.41395599997,40864.709360549234,0.3489432853850425,1,95961.51089601588
Faro de Vigo,0.418,174118.58552000002,39564.99952070807,0.2428615873101729,1,64414.12659668146
El Diario Vasco,0.4059,169078.310676,44470.80236518166,0.4584710946649395,1,62642.87025761636
El Periodico,0.5063,210900.095332,48754.91099007871,0.3085904487329946,1,105954.80925863957
La Razon,0.3202,133379.83512799998,35832.40346985352,0.3016296254523358,1,76325.86291232899
Heraldo de Aragon,0.3069,127839.69831600001,35630.88774494312,0.373937162788592,1,57664.09409834642
ÃƒÅ¡ltima Hora,0.3051,127089.90536399999,29496.99905072296,0.4648278614697286,1,64278.95334734604
Expansion,0.2124,88475.568336,19951.453113208263,0.200921082789352,1,24364.405752579492
El Diario MontaÃƒÂ±es,0.2055,85601.36202,18148.98454882381,0.5555520722135305,1,23409.44971192433
Diario de Navarra,0.2037,84851.569068,19448.502970944184,0.3877719373544664,1,31762.9304156751
El Comercio,0.2187,91099.84366800002,17262.456883558356,0.5798614328468509,1,40269.896925095156
Ideal de Andalucia,0.2167,90266.74038799999,22322.532017508605,0.554885014862502,1,37150.50726072588
Ara,0.2134,88892.119976,19925.615950818512,0.5340480311678395,1,44296.49225030098
El Norte de Castilla,0.2088,86975.982432,21852.682577778025,0.4172313181233498,1,46052.263811806806
Levante,0.2073,86351.154972,19161.009349856904,0.3922818961421006,1,26600.10408823369
El Progreso,0.22,91641.3608,23240.69189048709,0.5095025371219111,1,47685.86119310238
La Verdad,0.216,89975.15424,24482.92978067058,0.5376386126307888,1,28691.22524279933
Diario de Mallorca,0.2084,86809.361776,18459.438948420637,0.4239782544005767,1,44737.206507878596
El Punt Avui,0.3186,132713.35250399998,32876.3296975819,0.5423651646116949,1,42729.535373063874
Diario de Burgos,0.1051,43779.577364,8853.78998671066,0.5644960789568142,1,11783.108239477724
La Region,0.1153,48028.404092,8611.12421512252,0.5794981316299244,1,18315.523808738824
Informacion Alicante,0.1136,47320.266304000004,11316.773210773816,0.5465303197185456,1,21536.954236194855
Sur,0.2072,86309.499808,20593.39476804874,0.3239661945651533,1,39963.97200996165
Las Provincias,0.2062,85892.948168,20682.451854650604,0.3869252374612488,1,46583.78537559616
La Rioja,0.1098,45737.370072,11572.322394979828,0.2185439280548787,1,17497.59234267961
El Economista,0.1021,42529.922444,12470.068798504451,0.4990467168517815,1,19981.621049601992
Segre,0.1174,48903.162536,10286.336726495174,0.4487271440296644,1,14479.141000167167
El Dia,0.1136,47320.266304000004,10047.998383295702,0.3707810647409169,1,20117.43618981298
Diario de Noticias,0.1051,43779.577364,9902.77659597032,0.2572839289430135,1,15243.352045353757
Diario de Leon,0.1184,49319.714176,9009.24953694545,0.3046860673045543,1,13523.983606805912
Mediterraneo,0.1094,45570.749416,10591.93309330386,0.3832396463354758,1,17647.06915005879
Diario de Sevilla,0.1091,45445.783924,8532.684427350834,0.3706246336244979,1,23676.533604408054
Diari de Tarragona,0.1068,44487.715152000004,10311.842552444456,0.4207917571048923,1,16100.723768426895
Diario de Cadiz,0.1036,43154.749904,9854.429001723562,0.3684990586781122,1,21396.398728054737
La Provincia,0.1091,45445.783924,12226.575532349912,0.4480669129230553,1,19928.927744686956
Cinco Dias,0.1034,43071.439576000004,10003.67690853872,0.4019859324765151,1,23589.031983611596
Hoy Diario de Extremadura,0.1197,49861.231308,10717.745505810122,0.5939930410515117,1,26385.41734607883
Canarias 7,0.1073,44695.99097200001,11849.298764445031,0.5196604980963146,1,13756.01970041335
La Gaceta de Salamanca,0.1033,43029.784412,11761.305848796352,0.5498366581314802,1,24704.31954078718
Cordoba,0.1141,47528.542124,9378.72054672466,0.2168010338322628,1,27388.956373478155
El Correo Gallego,0.1198,49902.886472000006,9555.6066696656,0.4770454817999688,1,20387.423510008335
Deia,0.1074,44737.646135999996,8438.047719461358,0.4288696632138897,1,12851.270089452148
La Voz de Almeria,0.1153,48028.404092,12330.095302530171,0.3410608542134751,1,17151.647441065445
Jaen,0.1185,49361.36934,11666.88349324387,0.2849059632081296,1,22047.179331355117
Diario de Avisos,0.1099,45779.025236,10475.66072054592,0.2012771002403486,1,16792.73277448612
Super Deporte,0.12,49986.1968,10304.438672782391,0.5476377325777091,1,14974.421231993974
El Correo de Andalucia,0.2056,85643.017184,19746.504687782694,0.4835298176402144,1,36218.249738704806
Publico,0.2068,86142.87915200001,24472.456659204163,0.2423966568405047,1,23537.202531674535
Avui,0.2167,90266.74038799999,24607.800532740635,0.5151010518638056,1,40619.276376774484
Gara,0.1087,45279.163268,10305.145943677622,0.23955025914919,1,26746.99126829766
